Iteration,Payee1_ns,Payer_ns,Payee2_ns
581,1920221,4461603,2494824
582,1954996,4426536,2515293
583,1932805,4410133,2470575
584,1938440,4369145,2435606
585,1938861,4357462,2476608
586,1952230,4666219,2509268
587,1996775,4450605,2487334
588,3503028,4873645,2493001
589,2000883,4580181,2467591
590,1937730,4418741,2481058
591,1960080,4406697,2433067
592,1952800,4360442,2428027
593,1949714,4352102,2403067
594,1908043,4319649,2447962
595,1913162,4443010,2435221
596,1946032,4524732,2461899
597,1955692,4358748,2415525
598,1989225,4359469,2444570
599,1886434,4453657,2875885
600,1949924,4475949,2441389
601,1901743,4452334,2413542
602,1980552,4438036,2444819
603,1930761,4392134,2558169
604,1974840,4448903,2552715
605,1978751,4573584,2498203
606,2093311,4630925,2557282
607,1990419,4437558,2544684
608,2066404,4566084,2501202
609,2003919,4572354,2458246
610,2002038,4488360,2485935
611,1932716,4453350,2533376
612,2021614,4593817,2467892
613,2003775,4506136,2528191
614,1918852,4501924,2427372
615,1905487,4493246,2392141
616,1973886,4530531,2538587
617,2131749,4532863,2526705
618,2010501,4587865,2515461
619,1918850,4443594,2570894
620,1983411,4496931,2490349
621,1966477,4401125,2438112
622,1969170,4553415,2494391
623,2015556,4449683,2485460
624,1955872,4447522,2480644
625,1960129,4431050,2460078
626,1982014,4412983,2455800
627,1955065,4410424,2474381
628,2020138,4515032,2505616
629,1936647,4407413,2489603
630,1928697,4431110,2487608
631,1944979,4450964,2442887
632,1937127,4435240,2424168
633,1985438,4387377,2448483
634,2010377,4413126,2494339
635,1962363,4355790,2492840
636,1919393,4424285,2469528
637,1935071,4465881,2444558
638,1910140,4487826,2434284
639,1918262,4448456,2465794
640,1929411,4349262,2483902
641,1927998,4573709,2547307
642,2025263,4448036,2477016
643,1966132,4486577,2549352
644,2044194,4416126,2510729
645,1941422,4376377,2451396
646,1918116,4372662,2435802
647,1951814,4428279,2405307
648,1943726,4420162,2440384
649,1925625,4459333,2537961
650,1974559,4474492,2482897
651,1957184,4526282,2462740
652,1945716,4433056,2492049
653,1933772,4418038,2409204
654,1957669,4472419,2431297
655,2001271,4560497,2469318
656,1978900,4679043,2539478
657,1995658,4390044,2460379
658,1989834,4975914,2438540
659,1942496,4381886,2497095
660,2152224,1327387248,2644403
