Iteration,Payee1_ns,Bank1_ns,Payee2_ns,Bank2_ns,Payee3_ns,Bank3_ns
427,2579019,6322104,637292,649755,757520,4809312
428,2569094,6285954,618028,632214,709816,4572515
429,2575142,6271776,624475,656658,725811,4395970
430,2557253,6297719,619337,643643,713559,4490763
431,2517875,6362018,701694,642642,710572,4413064
432,2523470,6295763,610921,623511,707267,4498877
433,2553995,6206071,635590,729682,727267,4440775
434,2569218,6240602,628597,628319,716251,4565357
435,2577166,6263246,631579,633426,716579,4597168
436,2628733,6205616,622050,632196,713565,4719779
437,2542204,6311038,603251,621462,719699,4561508
438,2565339,6219664,628042,642142,723460,4474101
439,2523691,6237026,607083,630983,715840,4589274
440,2640892,6249885,677469,626487,729147,4459634
441,2554264,6227977,610004,649537,719555,4509190
442,2700005,6517431,628800,655925,725939,4587871
443,2528585,6574229,625980,644118,714233,4493358
444,2529475,6278763,668349,632457,716041,4391486
445,2666363,6325254,622515,638263,708757,4444333
446,2602800,6336516,615613,642948,706239,4385948
447,2547012,6216124,620013,669458,720197,4570616
448,2629509,6200385,620961,630424,725459,4484571
449,2595313,6181587,621772,633279,710378,4465674
450,2517950,6270886,625957,639149,716978,4753807
451,2608309,6250443,613817,640120,711369,4407164
452,2526632,6245254,622223,651608,710581,4819458
453,2637340,6112477,616611,689469,720205,4430807
454,2545533,6318414,623426,639632,710715,4443290
455,2518320,6313357,602306,628243,880717,4445192
456,2548766,6254182,621561,659107,722442,4486014
457,2595237,6190299,639368,685273,704780,4466950
458,2570291,6547437,633116,653914,762489,4752939
459,2670260,6391595,642242,667121,730673,4577034
460,3061845,7042967,631518,682573,742105,5820792
461,3557928,6851683,653186,679038,736834,4955596
462,2727622,6468332,652179,666811,746595,4787611
463,2741975,6452605,653867,658833,759826,4692899
464,2608876,6350027,649695,649686,761479,4683370
465,2616124,6324149,651044,678280,741427,4670093
466,2611628,6487985,764557,713115,730583,4713857
467,2631021,6415966,639947,678390,738515,4784143
468,2652618,6615259,641434,676235,840950,4703014
469,2655220,6666714,857808,711080,762871,4883782
470,2620733,6437669,686954,679892,746107,4675522
471,2664003,6571043,635220,651930,756733,4920177
472,2669288,6871961,668649,653144,732092,4674125
473,2672235,6929088,662131,704494,779256,4731026
474,2746340,6798274,657239,664739,744548,4796140
475,2777647,6847054,713810,706391,756203,4979993
476,2673012,6510805,640696,671199,797480,4809960
477,2672042,6546025,648180,672465,753810,6662506
478,2669105,6916200,642965,671172,757381,4753529
479,2683519,6980855,655517,677713,770775,4677418
480,2629736,6851484,656245,655785,745663,4870561
481,2641745,6503484,647059,648862,745885,5026254
482,2806030,6701448,635823,660424,747265,5281398
483,2922407,6875107,641700,690143,748709,4899938
484,2906091,6536664,655646,673653,753948,4843040
485,3128755,6441867,646887,668857,760033,4847824
486,2677939,6527389,648249,660289,757794,5428004
487,2686235,6457195,656344,673980,756790,5070763
488,2755537,6492270,637545,668371,736958,4947328
489,2806584,6680681,647661,670327,743266,5172622
490,2663111,6670233,679233,760299,749224,5358905
491,2649736,6579027,655394,673070,754833,5375079
492,2647061,6609585,655825,659759,764701,5790487
493,2777798,6699550,633651,649091,747343,5378167
494,3069468,6552377,641527,676144,817301,5134629
495,2677895,6627164,763382,689049,942306,5237779
496,2690472,6507809,672064,674059,753473,5076260
497,2713027,6643767,906475,744490,793775,5431240
498,2649911,6891424,646476,662146,862669,4959985
499,2726689,6538331,663329,675547,760068,5066547
500,2702836,6748045,648497,663860,781669,4936159
501,2671468,6588816,659322,684565,754680,5057022
502,2624554,7015039,657611,658653,770920,4970301
503,2679308,6652358,653928,657675,749316,5026387
504,2790250,6943641,650975,646396,747477,5047669
505,2816888,6842704,650337,676913,751400,5106015
506,2770041,6729056,633772,653463,793349,4880454
507,2691724,6756575,626800,678011,829985,4785357
508,2827716,6406742,636088,672451,749709,4768324
509,2918449,6789781,1178882,1312343,786197,4692761
510,2886140,6552597,648395,675349,746889,5334960
511,2888560,6535923,641724,674135,751051,4953635
512,2878017,6592350,649304,666814,754293,4844961
513,2767208,6452517,646036,664204,758462,4874262
514,2687801,6636974,641814,681145,774812,4797651
515,2736867,6491418,646375,674947,753269,4750715
516,2759786,6462529,644327,677484,774623,4883784
517,2724130,6486082,664416,696534,751945,5062797
518,2639664,6468332,634607,666835,741435,4877977
519,2646909,6479069,647754,688568,744080,5375203
520,2660767,6443104,661472,686284,756441,5175082
521,2685356,6532117,629465,666383,748828,4952291
522,2633016,6460459,636585,675517,744484,9213918
523,2652449,6574842,715288,816812,785130,4735757
524,2656879,6611588,652186,662032,762323,4763499
525,2690652,6681304,719608,675532,779040,4736852
526,2764804,6512120,827290,734492,747626,4761557
527,2696646,6543719,643344,653794,753952,4828638
528,2694378,6718065,708672,675220,749559,4889489
529,2632525,6489812,634701,730791,818077,5006756
530,2680918,6591563,677019,683909,751817,4909026
531,2668846,6786675,627742,649399,744191,5821760
532,2701603,6670015,649049,681996,799610,4924502
533,2661590,6797220,643064,668791,736270,4890782
534,2795879,6402367,641308,652352,744142,4978513
535,2691992,6473316,644826,660042,764204,5052191
536,2651839,6748889,657046,662306,747836,5078430
537,2763471,6576165,688960,679540,742904,5171794
538,2665166,6482833,653246,666544,895430,4908377
539,2650606,6737326,678629,653673,756311,5011344
540,2623486,6724279,683632,660450,740063,4926540
541,2718046,6609760,642885,650326,733841,4784817
542,2631552,6930158,644209,672479,759165,4971750
543,2678582,6637577,640574,697746,752004,4767732
544,2613362,6473803,631467,667914,785786,4879513
545,2888707,6494310,649187,655924,738463,4742020
546,2838887,6589022,643894,677863,768425,5493618
547,2700564,6528383,651296,664581,747496,5119645
548,2645042,6494902,644087,665983,749742,5849201
549,2678985,6445659,633129,649397,753155,4803377
550,2682281,6440031,639436,694802,764325,4704184
551,2758080,6443780,680173,651350,730513,4825679
552,2641548,6700362,632498,663455,749063,4656936
553,2654696,6555086,637548,663159,732471,4741791
