Iteration,Payee_ns,Bank_ns
717,2694718,9816801
718,2648142,9772291
719,2717209,9850593
720,2616831,9933468
721,2699069,9872067
722,2638513,9945020
723,2632764,10150030
724,2623124,9944198
725,2611424,9855835
726,2622712,9949855
727,2714380,15955140
728,2628866,9910180
729,2698384,10693276
730,2655856,10092091
731,2648278,10256238
732,2710971,10244764
733,2642675,11385279
734,2739984,10015136
735,2695821,9981677
736,2646823,10020966
737,2666463,9936979
738,2642005,9794084
739,2688588,9966810
740,2683636,9881255
741,2801209,10079774
742,2667020,10008196
743,2618782,13414495
744,2711974,12444420
745,2639361,10902342
746,2731561,11446304
747,2624265,10730255
748,2650994,10522409
749,2859213,10316659
750,3616165,10615684
751,2652458,10654751
752,2625396,11103669
753,2749479,10553723
754,2905469,10636899
755,2749085,11259525
756,2763459,11955892
757,2645587,11587215
758,2703423,10806634
759,2700470,10872376
760,2633661,10046000
761,2662542,9863286
762,2617427,9951505
763,2663723,10014977
764,2627858,10362446
765,2681239,10126915
766,2651579,10608502
767,2691522,13576878
768,2776990,10382625
769,2616159,10248747
770,2691958,13614677
771,2633721,10096628
772,2738832,10163268
773,2667957,9900864
774,2676910,10646647
775,2712076,13501481
776,2675159,10356221
777,2682520,12228272
778,2667059,11174114
779,2762228,10058071
780,2645682,9866267
781,2696097,13756622
782,2645600,10005584
783,2675687,10120388
784,2622077,14252898
785,2721297,10691797
786,2702244,10100963
787,2700663,10185343
788,2672684,9941016
789,2705566,9966855
790,2652869,10202228
791,2639592,10030885
792,2665210,9828593
793,2727281,9955568
794,2687642,10370516
795,2655096,10180460
796,2701301,10614934
797,3111700,10323495
798,3192198,10233935
799,3025208,10236519
800,2669998,11520452
801,3616977,10434153
802,2643387,10381396
803,2754485,10329097
804,2649247,10180171
805,3004882,10375127
806,2630437,10743283
807,2644052,10456451
808,2704080,10702137
809,2693637,10308674
810,2702526,10047491
811,2755236,10065691
812,2624717,10028240
813,2616144,10595628
814,2705416,9999029
815,2664049,10018626
816,2651678,10062989
817,2723462,10008629
818,2626637,10241011
819,2616033,10920302
820,2660872,10027784
821,2772644,10295016
822,2616417,10014719
823,2643130,10156615
824,2639496,10070732
825,2647805,10198696
826,2615227,9864106
827,2698253,10191100
828,2598852,9889469
829,2667407,9810520
830,2629777,10013847
831,2657137,10033859
832,2646859,10107780
833,2665585,13020594
834,2627400,10246264
835,2732045,9944454
836,2663017,10209036
837,2635452,9987466
838,2740632,10137698
839,2662146,10310493
840,2717263,10116644
841,2630106,13183857
842,2629407,10240388
843,2644768,10040061
844,2601294,11556425
845,2622908,10167405
846,2674869,10283038
847,2653857,14150174
848,2681522,10047050
849,2697946,10264491
850,2677008,10370696
851,2633378,14245781
852,2666314,10242806
853,2646391,11399557
854,2646477,9995613
855,2677068,10026602
856,2632161,11258712
857,2654724,10290831
858,2715523,10096560
859,2708657,10258417
860,2807897,10088089
861,2620722,10024682
862,2634878,9951511
863,2651097,9845396
864,2649505,9739554
865,2672753,9767746
866,2704262,9816757
867,2712522,10041576
868,2644545,10154761
869,2664241,10039422
870,2646211,10085798
871,2617746,9878507
872,2677705,10965811
873,2692209,9970304
874,2655572,9787724
875,2697498,9948139
876,2667638,10111767
877,2761500,10018974
878,2656995,10247856
879,2677867,10122069
880,2678629,10188104
881,2651902,10128668
882,2645437,10179939
883,2625514,10082823
884,2663105,10130040
885,2720084,10613566
886,2643834,10021512
887,2627904,10260987
888,2663759,11459936
889,2615704,10009280
890,2785720,10039615
891,2660814,9965896
892,2718208,9887843
893,2654787,9981503
894,2675218,10026903
895,2659469,10097375
896,2631997,10339108
897,2642591,10014594
898,2935202,10851509
899,2702589,12276165
900,2677874,10279785
901,2787285,10178667
902,3008256,11670967
903,2701165,10548690
904,2908617,10136854
905,2674643,10598351
906,2661326,10316313
907,2776472,10346633
908,2685372,10279903
909,2699807,10155054
910,3188477,10257803
911,2679284,11135387
912,2711113,13634183
913,2699788,10146838
914,2783027,10266041
915,2673213,10174404
916,2785640,10274478
917,3570583,10120714
918,2669811,10105396
919,2840936,10262406
920,2639820,10462227
921,2646493,10362523
922,2684766,11080614
923,2698331,10254837
924,2655475,9843998
925,2628062,9881293
926,2630438,10026340
927,2657677,9940925
928,2721209,10119801
929,2615544,10236016
930,2706491,10034575
931,2721512,10097336
932,2719594,10064947
933,2639024,10055703
934,2638862,10037001
935,2743912,10951735
936,2709398,11261507
937,2619883,9859953
938,2765436,10189052
939,2684515,10066281
940,2639907,10231139
941,2614608,10207375
942,2770355,10072498
943,2617250,10125916
944,2611492,10089610
945,2754787,10225568
946,2601113,14703197
947,2658225,10203697
948,2657718,9991474
949,2637844,9991957
950,2660206,10197970
951,2692827,10072671
952,2649294,10203402
953,2701898,10286261
954,2730985,10068919
955,2638632,11143537
956,2637965,10198713
957,2714761,10019919
958,2732342,10173861
959,2680914,10086332
960,2630080,10198313
961,2671680,10300844
962,2669268,10119262
963,2760182,10144998
964,2654333,10191477
965,2655834,10208661
966,2790232,10118607
967,2672612,10262827
968,2748274,10062224
969,2658120,10237330
970,2655749,10021271
971,2652795,10144307
972,2664220,10008331
973,2623966,9965843
974,3413421,12910928
975,2664934,10855414
976,2724533,9870695
977,2649814,10032496
978,2648091,9914506
979,2629111,10058125
980,2645591,9811857
981,2710591,9840578
982,2658738,11544973
983,2595248,10162452
984,2721854,10069855
985,2670035,10249632
986,2614027,10723698
987,2633879,10094370
988,2642750,10142689
989,2683629,10137382
990,2602165,10078918
991,2705186,10083248
992,2620222,10119118
993,2646520,10394601
994,2578306,10080812
995,2698952,10152512
996,2668583,10030027
997,2652917,10265816
998,2667986,10043720
999,2670902,9934578
1000,2625038,10679997
1001,2659350,10137350
1002,2704127,10284064
1003,2701154,10137079
1004,2638176,10200551
1005,2655537,10268087
1006,2621128,11486129
1007,2602639,10063107
1008,2666234,10139066
1009,2660640,10130633
1010,2624511,9977803
1011,2624772,9926435
1012,2703327,9891553
1013,2632573,10103972
1014,2678119,9739097
1015,2635352,9828198
1016,2703072,9918061
1017,2667625,9803188
1018,2587201,9865774
1019,2694693,10983420
1020,2667625,9924462
1021,2622757,9801438
