Iteration,Payee1_ns,Payer_ns,Payee2_ns
527,2100274,5567714,3531405
528,2137366,5562533,3439793
529,2103799,5647109,3501389
530,2079938,5673368,3463568
531,2101721,5663921,3500457
532,2096324,5638621,3481354
533,2123543,5678699,3536405
534,2158055,5668514,3459847
535,2133962,5631739,3589541
536,2126529,5560024,3518932
537,2133109,5560541,3439017
538,2098351,5663340,3501053
539,2093789,5613614,3512437
540,2120466,5558752,3435697
541,2091776,5629225,3507782
542,2119925,5641304,3521069
543,2172002,5763766,3610784
544,2107182,5690239,3596164
545,2282716,5668155,3442503
546,2110160,5682233,3455162
547,2200771,5577417,3473341
548,2142297,5605990,3501475
549,2145076,5618637,3412432
550,2127243,5581068,3471139
551,2088826,5589277,3501262
552,2109807,5617385,3482996
553,2171664,5570003,3484086
554,2132867,5593951,3554346
555,2125181,5606336,3444019
556,2101166,5708792,3347495
557,2102243,5451574,3362490
558,2101225,5484659,3317578
559,2003700,5411771,3328303
560,2062799,5366002,3503058
561,2069829,5408375,3374060
562,2046679,5475688,3363346
563,2043011,5400962,3283041
564,2061142,5370454,3318988
565,2060269,5381254,3362161
566,2023324,5439966,3404438
567,2066625,5468681,3375488
568,2091204,5529488,3492815
569,2093959,5531248,3315527
570,2056387,5432043,3331337
571,2035930,5418157,3369674
572,2034506,5369651,3401785
573,2046279,5438386,3344217
574,2120193,5545730,3424750
575,2074486,5545645,3374842
576,2052568,5489201,3361233
577,2034436,5392461,3599732
578,2024448,5444157,3336802
579,2029365,5468930,3342430
580,2062243,5628452,3334310
581,2035644,5380844,3342532
582,2035352,5445083,3408500
583,2044588,5747055,3359105
584,2048390,5456660,3418774
585,2036917,5438170,3355428
586,2047495,5389677,3307224
587,2053018,5433034,3358290
588,2126395,5533850,3348869
589,2034143,5512298,3530447
590,2082164,5550834,3369423
591,2095882,5456070,3365394
592,2049033,5459713,3363941
593,2050423,5384398,3362101
594,2066930,5403068,3387966
595,2081690,5460342,3361010
596,2052973,5429175,3342848
597,2069071,5431945,3321176
598,2089457,5440927,3385032
599,2357655,5528104,3346921
600,2039767,5436713,3364131
601,2037608,5413541,3365252
602,2024787,5376261,3358338
603,2027727,5469278,3328456
604,2063488,5416034,3366346
605,2036536,5422162,3394316
606,2044405,5375864,3327495
607,2225024,5550896,3392550
608,2026839,5658333,3389239
609,2009887,5494688,3522771
610,2043330,5418303,3359851
611,2043411,5516617,3375092
