Iteration,Payee1_ns,Bank1_ns,Payee2_ns,Bank2_ns,Payee3_ns
500,1917780,8228002,669753,667504,475113
501,1945141,9635759,655994,666997,466347
502,1965541,8359813,790571,702875,452424
503,2005117,8404393,846051,722490,465614
504,2034586,8578983,633881,638381,471535
505,1895600,9396702,646235,654011,469604
506,1939153,8661243,677314,653134,456043
507,1950146,8299671,680385,671479,475648
508,1979249,8228091,644378,648554,481035
509,1979445,8163213,682639,688869,477448
510,1932317,8412219,676421,658870,465067
511,1924914,8244828,658909,633140,480084
512,1976283,8095936,668220,677898,468065
513,1946630,8076070,649789,657500,462947
514,2001649,7916683,651054,657398,473599
515,1899033,8005555,626710,645022,465166
516,1951269,7867539,667960,659535,481201
517,2056841,7779803,646457,652511,497968
518,1946999,7769430,644962,659571,471267
519,1939455,8117437,650252,661109,476195
520,1956361,8101603,654908,650246,464512
521,1964908,7817720,650628,655521,470223
522,1924715,7972731,661564,657057,475831
523,1958868,7755252,635717,625141,468933
524,1969189,7814797,648869,654095,467750
525,1926744,7915323,648856,653536,479778
526,1950942,8035377,666900,708637,565589
527,1945573,8275913,639013,649422,461870
528,1973798,8097194,643015,664044,466835
529,1956431,8958281,669409,650612,463130
530,1951508,8084693,643588,644343,463763
531,1982992,7871643,678939,667297,453113
532,2001968,9368012,642699,649482,470995
533,1950469,7782758,634372,633627,465619
534,1986420,7920699,663477,668640,466065
535,1947700,8200760,635694,666912,453233
536,1933896,7920547,647262,642801,467116
537,1915337,7981645,660831,654618,465095
538,1975839,7850479,692805,687609,503317
539,1936397,8034806,666169,653777,479777
540,1944402,8058676,664299,663892,463625
541,1950730,8088716,668596,738272,477575
542,1920964,8850063,634048,648679,465913
543,2202419,8534316,668941,680837,476654
544,1953235,7979692,642048,656101,501544
545,1961574,8906735,653150,648549,465160
546,1950517,9085889,662379,657546,467445
547,1941094,8116431,643446,646484,467478
548,1944043,8068739,635586,649541,471023
549,2071282,8048767,685664,662160,466027
550,1933410,7989324,639290,643036,458163
551,1917332,8698265,671482,666522,464163
552,1959438,7912559,751045,648792,465915
553,1915784,7937396,634980,633099,455518
554,2002498,7921828,653296,672026,474414
555,1990995,7892471,647206,658157,463184
556,1938436,7718887,635276,668340,473801
557,1953601,8316277,642115,645625,467999
558,1915065,8031644,668010,681689,467406
559,1949704,8245426,639780,654218,460702
560,1943727,8171358,654791,659840,471337
561,1973490,8180460,632429,625091,463968
562,1936362,8041282,649706,657260,463453
563,1891886,8001607,643862,660377,464461
564,2014173,8176972,648478,653478,466031
565,1961085,8064215,658291,664157,503106
566,1941980,8305393,664242,659257,472656
567,1953848,8051905,647091,666202,470095
568,1946809,8267272,630310,790227,465283
569,1983447,9005120,672592,647668,462654
570,2030718,8584007,676110,640426,468241
571,1949067,8025504,635369,642231,468355
572,1952934,7803402,640679,645476,466884
573,1947062,7850879,672426,656418,455364
574,1945961,7920265,644475,640395,479170
575,1966746,7799125,669938,682296,483446
576,1979935,7746330,640257,669378,466017
577,1942013,7948165,670875,661859,469266
578,2101258,9184261,662651,649333,468650
579,1951375,8275165,638778,643511,467204
580,1951498,8132999,668081,665042,475788
581,2012001,8717790,656450,636222,466931
582,1902830,8237282,666609,655036,466907
583,1942598,8057185,652272,645452,469857
584,1949946,9101628,646747,642861,475540
585,1931489,7886212,658786,694133,527741
586,1948148,8216334,666625,664219,472608
587,1967144,7867338,665575,686847,460498
588,1951920,8027658,641108,638205,466704
589,2178353,9286638,677269,669351,468423
590,1992974,8408915,645111,649860,466338
591,1965430,8539220,668845,658833,471985
592,1943533,8434830,648367,642842,457155
593,1890282,8246684,648809,651841,473046
594,1932124,8236025,654237,641445,504770
595,2153081,8419198,680905,638654,461707
596,1898616,8119613,733147,660340,504909
597,2052573,9770290,649360,1075529,462245
598,1968200,8237180,660526,662964,493648
599,2105012,8376501,673348,673310,472599
600,1915690,8856243,659064,661163,467134
601,2826787,9407412,654700,652914,500847
602,2046293,8207753,641769,673570,472218
603,1937105,8148725,650374,642035,510394
604,2030686,8504683,658050,650778,476953
605,1952796,8580942,705571,703311,508049
606,1956620,8927611,650986,652211,504650
607,2035159,8086347,732795,662165,470471
608,2006633,8499841,645870,656305,470398
609,1901455,9240164,634862,637132,469081
610,1923517,8532719,660965,646853,470717
611,2020532,8220192,668290,649060,467375
612,1934784,8048187,651367,662583,463860
613,2029030,9362713,643235,656613,467447
614,1943919,8374288,658458,646532,469650
615,1958803,8088858,640423,637272,476117
616,1945283,7948606,658331,649313,473325
617,1899192,8195523,641641,641299,504315
618,2002521,9375202,653323,649501,468778
619,1968351,8371549,673748,663868,478547
620,1986422,8232288,685143,655630,457081
621,1979832,8078246,647297,659659,464747
622,1952781,8060823,627184,694603,457105
623,1945728,8523968,648313,651440,463613
624,1913843,8143829,656021,665622,452693
625,1959417,8724310,1294590,666786,453339
626,1905806,8078858,664629,666812,475905
627,1956928,8390415,644874,637502,464535
628,1936893,8201161,655667,649550,464691
629,2012193,8079315,673303,682166,488037
630,1961259,8123387,725050,664606,513036
631,2074131,8513549,666095,657594,475685
632,1946693,8328180,715052,678735,464929
633,2001727,8218256,670158,671580,470098
634,1963653,8213438,681257,675751,477319
635,1921840,8298895,665597,686491,475204
636,2138067,8166122,661688,643946,466061
