Iteration,Payee1_ns,Bank1_ns
1135,547086,3064079
1136,544759,3032527
1137,548101,3227230
1138,559563,3298313
1139,569141,3214283
1140,567155,3181544
1141,557102,3123074
1142,551343,3194608
1143,574677,3182449
1144,560751,3488350
1145,562895,3180257
1146,556594,3171719
1147,581056,3261213
1148,581167,3589900
1149,649421,3154390
1150,557414,3107846
1151,563600,3104274
1152,546124,3204439
1153,582695,3109492
1154,554670,3148833
1155,553489,3112074
1156,565394,3200364
1157,590934,3140115
1158,551562,3163844
1159,567376,3131499
1160,545199,3179237
1161,719422,3257219
1162,550883,3157383
1163,571831,3152194
1164,557006,3127960
1165,731444,3326073
1166,736360,3223722
1167,561995,3199077
1168,552258,3080983
1169,545517,3072534
1170,565055,3060553
1171,561676,3067309
1172,542494,3084615
1173,556110,3024983
1174,530440,3098865
1175,538391,3090664
1176,550021,3035768
1177,602544,3131920
1178,537580,3216431
1179,550051,3090901
1180,547951,3067044
1181,555538,3040727
1182,527377,3035311
1183,532261,3056475
1184,536043,3025669
1185,549920,3086768
1186,549475,3061553
1187,565551,3074766
1188,543803,3058174
1189,530350,3087701
1190,536455,3042755
1191,528703,3014436
1192,537141,3050212
1193,548855,3016822
1194,535533,3036168
1195,558093,3086523
1196,540788,3050191
1197,532391,3173514
1198,555708,3063753
1199,540290,3058571
1200,538777,3064513
1201,547073,3065824
1202,556831,3053957
1203,545885,3098100
1204,543153,3148539
1205,557799,3042455
1206,534067,3043346
1207,534176,3045968
1208,547964,3049035
1209,550437,3053403
1210,563548,3128467
1211,522425,3055011
1212,532872,3041199
1213,536165,3054204
1214,534303,3036812
1215,530806,3040510
1216,547899,3040321
1217,528683,3039568
1218,527871,3080532
1219,535905,3034462
1220,540954,3018880
1221,535263,3006030
1222,539581,3154778
1223,576068,3058767
1224,570172,3053257
1225,544047,3079221
1226,545668,3147213
1227,556273,3071830
1228,562612,3109826
1229,546505,3107609
1230,546895,3036623
1231,556738,3084342
1232,549702,3087050
1233,533213,3070757
1234,561240,3069127
1235,549198,3039396
1236,533957,3083405
1237,530315,3039397
1238,544054,3233322
1239,556432,3122703
1240,562326,3107691
1241,555872,3091665
1242,554908,3175410
1243,553028,3063391
1244,539628,3020727
1245,540051,3074218
1246,539810,3075505
1247,551621,3251978
1248,564179,3150881
1249,550096,3095063
1250,542555,3107403
1251,543449,3009484
1252,547458,3038157
1253,547091,3094266
1254,537446,3039181
1255,553412,3076312
1256,552047,3063292
1257,545604,3014564
1258,540935,3055461
1259,537409,3335986
1260,548695,3067148
1261,534108,3046826
1262,544248,3037936
1263,619023,3053354
1264,558138,3082169
1265,536020,3062107
1266,564450,3046383
1267,539005,3069854
1268,523882,3107513
1269,537544,3044898
1270,548710,3052063
1271,548252,4105721
1272,578860,3105293
1273,542097,3117655
1274,544848,3021639
1275,578536,3202090
1276,564042,3091522
1277,570235,3116266
1278,574775,3091277
1279,562591,3157108
1280,534865,3036434
1281,544139,3094055
1282,539288,3097371
1283,537008,4552048
1284,552745,3090084
1285,539921,3078972
1286,534855,3027741
1287,527827,3032393
1288,540659,3217105
1289,592236,3167657
1290,568012,3060672
1291,559607,3087777
1292,534958,3092926
1293,537303,3098812
1294,552503,3082551
1295,557621,3052150
1296,557028,3063304
1297,570971,3027961
1298,557736,3083615
1299,547679,3035891
1300,554479,3007056
1301,544330,3034542
1302,542116,3018861
1303,544563,3094617
1304,547199,3093715
1305,545671,3076024
1306,540596,3042174
1307,555234,3096301
1308,542897,3079342
1309,556808,3105249
1310,532780,3089901
1311,544753,3047127
1312,536087,3019504
1313,575026,3068609
1314,538779,3058730
1315,529280,3065284
1316,542384,3037838
1317,546125,3012270
1318,536502,3042167
1319,541080,3079065
1320,536575,3060941
1321,578850,3053519
1322,542312,3009292
1323,529477,3011992
1324,535186,3089361
1325,553316,3052825
1326,534282,3040330
1327,541095,3069558
1328,559906,3166564
1329,533155,3102900
1330,548624,3070132
1331,551568,3177123
1332,549292,3129134
1333,546961,3108004
1334,540549,3020910
1335,533012,3041781
1336,548866,3056463
1337,540109,3068097
1338,541500,3095779
1339,534623,3038363
1340,549645,3066978
1341,558205,3111262
1342,540116,3033071
1343,544179,3074217
1344,539638,3101713
1345,537975,3055645
1346,537658,3040376
1347,552439,3042613
1348,553625,3049016
1349,558026,3120731
1350,551512,3033257
1351,543321,3019644
1352,543452,3054650
1353,543742,3035848
1354,549200,3055876
1355,548261,3028989
1356,536532,3010764
1357,532763,3159985
1358,551534,3025122
1359,530046,3042663
1360,530711,3071808
1361,533363,3246109
1362,548795,3079881
1363,535793,3031424
1364,544459,3052215
1365,562810,3029944
1366,523858,3103778
1367,546866,3101925
1368,534265,3088823
1369,533283,3247943
1370,577850,3111388
1371,647430,3123144
1372,558023,3065609
1373,551409,3130603
1374,544170,3100619
1375,544834,3161267
1376,539349,3132551
1377,543751,3018383
1378,579250,3078183
1379,545756,3090590
1380,544139,3085372
1381,553487,3074418
1382,528469,3141163
1383,552831,3069656
1384,535236,3191824
1385,550197,3176806
1386,546653,3036661
1387,536825,3066430
1388,535107,3013697
1389,532998,3053300
1390,535870,3355415
1391,559296,3085863
1392,558136,3040628
1393,546156,3049527
1394,543277,3048199
1395,537440,3078374
1396,567380,3105801
1397,548328,3120503
1398,546649,3127789
1399,540986,3096647
1400,550734,3119992
1401,554362,3252619
1402,558398,3085793
1403,542366,3108564
1404,540112,3059215
1405,545224,3136565
1406,552495,3097777
1407,550521,3113488
1408,548757,3062611
1409,548406,3052115
1410,532009,3115297
1411,540858,3126740
1412,547447,3040208
1413,531303,3063208
1414,535315,3077855
1415,551855,3082865
1416,542666,3066578
1417,539029,3051069
1418,540179,3093068
1419,554162,3057926
1420,544893,3103364
1421,540894,3044148
1422,525879,3117302
1423,546811,3106935
1424,539626,3056251
1425,551788,3071471
1426,546566,3054732
1427,577314,3038451
1428,554601,3041235
1429,559678,3101835
1430,549580,3067822
1431,542023,3216595
1432,549202,3043069
1433,544873,3079368
1434,542860,3079508
1435,544247,3032861
1436,531607,3039027
1437,532940,3121613
1438,545864,3097776
1439,552588,3085191
1440,558422,3137772
1441,541696,3052700
1442,539075,3043995
1443,538208,3053166
1444,541205,3098170
1445,541729,3027618
1446,548061,3095451
1447,543787,3108843
1448,547012,3052218
1449,551700,3040457
1450,549930,3038801
1451,527358,3088273
1452,540582,3033737
1453,535442,3060898
1454,519733,3040868
1455,546947,3023846
1456,557481,3057581
1457,555072,3047569
1458,540398,3073141
1459,537870,3127492
1460,541178,3116795
1461,555880,3061665
1462,553219,3072669
1463,532626,3071339
1464,526786,3110449
1465,530946,3056072
1466,554237,3068297
1467,544261,3068273
1468,545098,3078143
1469,542530,3067326
1470,544763,3085381
1471,552210,3058867
1472,543919,3176908
1473,547388,3094124
1474,537245,3030488
1475,536330,3050141
1476,540080,3157908
1477,576651,3198968
1478,540516,3086330
1479,549828,3074067
1480,543054,3053337
1481,570279,3041746
1482,542757,3100979
1483,528973,3048239
1484,545886,3072540
1485,548917,3088775
1486,553630,3060024
1487,537269,3122834
1488,542234,3053207
1489,534257,3058006
1490,548490,3048200
